course_id,title,provider,course_length,effort,subject,price_origin,price,level,num_school,school_1,school_2,school_3,school_4,language,language_origin,url,name,bio,img,basic_info
150,Bioinformatics Capstone: Big Data in Biology,Coursera,3,"3 weeks of study, 3-4 hours/week",Bioinformatics,null,79,Beginner,1,"University of California, San Diego",,,,English,English,https://www.coursera.org/learn/bioinformatics-project,"Phillip E. C. Compeau, Asst Teaching Professor",Carnegie Mellon University,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/59/4bd29997da7aaab98f115c150b620e/Coursera-Photo-Square.png?auto=format&dpr=1&w=88&h=88&fit=crop,Course 7 of 7 in the Bioinformatics Specialization.
150,Bioinformatics Capstone: Big Data in Biology,Coursera,3,"3 weeks of study, 3-4 hours/week",Bioinformatics,null,79,Beginner,1,"University of California, San Diego",,,,English,English,https://www.coursera.org/learn/bioinformatics-project,"Pavel Pevzner, Professor",Department of Computer Science and Engineering,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/36/f55286eec4906af3eb0d9e620df02a/magick_PavelPevznerNewest.jpg?auto=format&dpr=1&w=88&h=88&fit=crop,Course 7 of 7 in the Bioinformatics Specialization.
151,Bioinformatics: Introduction and Methods ßæÚªãáãÓ?: ???Û°Ûö,Coursera,14,1-2 hours/week,Bioinformatics,Purchase Course ¡¤ US$49 USD,49,null,1,Peking University,,,,English,English,https://www.coursera.org/learn/bioinformatics-pku,"Ge Gao ÍÔÊ°, Assistant Professor, Principle Investigator","Center for Bioinformatics, School of Life Science",https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/0c/f76ac029ea0a31eb529357afd39508/gaog.jpg?auto=format&dpr=1&w=88&h=88&fit=crop,null
151,Bioinformatics: Introduction and Methods ßæÚªãáãÓ?: ???Û°Ûö,Coursera,14,1-2 hours/week,Bioinformatics,Purchase Course ¡¤ US$49 USD,49,null,1,Peking University,,,,English,English,https://www.coursera.org/learn/bioinformatics-pku,"Liping Wei êà?øÃ, Professor, Director","Center for Bioinformatics, School of Life Sciences",https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/dd/aa0928e4bbb36d0c056bd596674bcf/photo-white-T-shirt-looking-side-way-600x600.jpg?auto=format&dpr=1&w=88&h=88&fit=crop,null
153,"Biological Diversity (Theories, Measures and Data sampling techniques)",Coursera,6,"6 weeks of study, 1-2 hours/week",Biology,Purchase Course ¡¤ US$49 USD,49,Intermediate,1,National Research Tomsk State University,,,,English,English,https://www.coursera.org/learn/biological-diversity,"Roberto Cazzolla Gatti, Ph.D., Associate Professor in Ecology and Biodiversity","Biological Diversity and Ecology Laboratory, Bio-Clim-Land Centre of Excellence, Biological Institute",https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/e9/cea2800dd411e68f98cbaed0afad97/foto-roberto-1.jpg?auto=format&dpr=1&w=88&h=88&fit=crop,null
154,Biology Meets Programming: Bioinformatics for Beginners,Coursera,4,null,Bioinformatics,Purchase Course ¡¤ US$49 USD,49,Beginner,1,"University of California, San Diego",,,,English,English,https://www.coursera.org/learn/bioinformatics,"Pavel Pevzner, Professor",Department of Computer Science and Engineering,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/36/f55286eec4906af3eb0d9e620df02a/magick_PavelPevznerNewest.jpg?auto=format&dpr=1&w=88&h=88&fit=crop,null
154,Biology Meets Programming: Bioinformatics for Beginners,Coursera,4,null,Bioinformatics,Purchase Course ¡¤ US$49 USD,49,Beginner,1,"University of California, San Diego",,,,English,English,https://www.coursera.org/learn/bioinformatics,"Phillip E. C. Compeau, Asst Teaching Professor",Carnegie Mellon University,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/59/4bd29997da7aaab98f115c150b620e/Coursera-Photo-Square.png?auto=format&dpr=1&w=88&h=88&fit=crop,null
155,Blended Learning: Personalizing Education for Students,Coursera,6,null,Education,Purchase Course ¡¤ US$49 USD,49,null,3,New Teacher Center,Silicon Schools Fund,Clayton Christensen Institute,,"English, Subtitles: Russian","English, Subtitles: Russian",https://www.coursera.org/learn/blended-learning,Brian Greenberg,null,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/95/c0c7ccd3dcaffb4193fe60c35acfc2/BRI_3882.JPG?auto=format&dpr=1&w=88&h=88&fit=crop,null
155,Blended Learning: Personalizing Education for Students,Coursera,6,null,Education,Purchase Course ¡¤ US$49 USD,49,null,3,New Teacher Center,Silicon Schools Fund,Clayton Christensen Institute,,"English, Subtitles: Russian","English, Subtitles: Russian",https://www.coursera.org/learn/blended-learning,Rob Schwartz,null,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/0b/9c9d312779e2d54a8e9b4b448cbb16/Rob-Schwartz-headshot.jpg?auto=format&dpr=1&w=88&h=88&fit=crop,null
155,Blended Learning: Personalizing Education for Students,Coursera,6,null,Education,Purchase Course ¡¤ US$49 USD,49,null,3,New Teacher Center,Silicon Schools Fund,Clayton Christensen Institute,,"English, Subtitles: Russian","English, Subtitles: Russian",https://www.coursera.org/learn/blended-learning,Michael Horn,null,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/a7/4c1784bcbc428b87a4406d41b6ccb2/CC-Institute-Gala-9-of-32-1.jpg?auto=format&dpr=1&w=88&h=88&fit=crop,null
156,Brand New Brand,Coursera,7,"6 weeks of study, 3-5 hours per week",Music and Art,null,79,null,1,California Institute of the Arts,,,,English,English,https://www.coursera.org/learn/brand-new-brand,"Michael Worthington, Faculty, Program in Graphic Design",School of Art,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/f6/20ed10573e11e5a4b943bd0b471be7/MW-HEAD.jpg?auto=format&dpr=1&w=88&h=88&fit=crop,Course 5 of 5 in the Graphic Design Specialization.
157,Brand and Product Management,Coursera,4,null,Marketing,Purchase Course ¡¤ US$79 USD,79,null,1,IE Business School,,,,"English, Subtitles: Mongolian","English, Subtitles: Mongolian",https://www.coursera.org/learn/brand-management,"Luis Rodriguez Baptista, Professor",Marketing,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/d9/7154308ea111e5bd4a39d79cdbe0f9/Luis-Rodriguez-Baptista.jpg?auto=format&dpr=1&w=88&h=88&fit=crop,Course 1 of 5 in the Marketing Mix Implementation Specialization.
158,Buddhism and Modern Psychology,Coursera,6,2-5 hours/week,Psychology,"Full Course, No Certificate",Free,null,1,Princeton University,,,,English,English,https://www.coursera.org/learn/science-of-meditation,Robert Wright,null,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/fe/d02c035195b459b865fde42f19fd2e/Robert-Wright-by-Barry-Munger.jpg?auto=format&dpr=1&w=88&h=88&fit=crop,null
159,Budgeting and Scheduling Projects,Coursera,5,"4 weeks of study, 2-3 hours/week",Leadership and Management,Purchase Course ¡¤ US$69 USD,69,null,1,"University of California, Irvine",,,,English,English,https://www.coursera.org/learn/schedule-projects,"Margaret Meloni, Instructor, University of California, Irvine Extension",,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/c0/80f6e0d28811e4902ee96fbe8058d7/meloni.png?auto=format&dpr=1&w=88&h=88&fit=crop,Course 2 of 4 in the Introduction to Project Management Principles and Practices Specialization.
160,Build Your First Android App (Project-Centered Course),Coursera,4,"10 hours of study, 10 hours of active project work",Mobile and Web Development,Purchase Course ¡¤ US$49 USD,49,null,1,CentraleSup?lec,,,,English,English,https://www.coursera.org/learn/android-app,"Dr. Virginie Galtier, Associate Professor",Computer Science,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/b3/cb1ba0b52811e582646f0314e1b02c/virginie.galtier.jpg?auto=format&dpr=1&w=88&h=88&fit=crop,null
160,Build Your First Android App (Project-Centered Course),Coursera,4,"10 hours of study, 10 hours of active project work",Mobile and Web Development,Purchase Course ¡¤ US$49 USD,49,null,1,CentraleSup?lec,,,,English,English,https://www.coursera.org/learn/android-app,"Michel Ianotto , Associate Professor",Computer Science,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/e1/84d6e0c9ae11e5905ce9fcfd47c346/IMG_0457_Decoupe.jpg?auto=format&dpr=1&w=88&h=88&fit=crop,null
161,Build Your Own iOS App,Coursera,4,"4 weeks of study, 3-5 hours/week",Mobile and Web Development,null,79,null,1,University of Toronto,,,,English,English,https://www.coursera.org/learn/build-app,"Parham Aarabi, Professor",Department of Electrical and Computer Engineering,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/5d/104b103d1311e5b44f752682341f65/ParhamAarabi.jpg?auto=format&dpr=1&w=88&h=88&fit=crop,Course 4 of 4 in the iOS App Development with Swift Specialization.
162,Build Your Professional ePortfolio in English,Coursera,4,"4 weeks of study, 1-2 hours/week",Learning English,Purchase Course ¡¤ US$79 USD,79,null,1,Georgia Institute of Technology,,,,English,English,https://www.coursera.org/learn/eportfolio-english,"Karen Peterson, Lecturer",Georgia Tech Language Institute,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/dd/2e4450ba1311e58ae18543e6165465/karen.jpg?auto=format&dpr=1&w=88&h=88&fit=crop,Course 3 of 4 in the Improve Your English Communication Skills Specialization.
163,Build a Modern Computer from First Principles: From Nand to Tetris (Project-Centered Course),Coursera,6,null,Algorithms,Purchase Course ¡¤ US$49 USD,49,null,1,Hebrew University of Jerusalem,,,,English,English,https://www.coursera.org/learn/build-a-computer,"Shimon Schocken, Professor",Computer Science,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/95/b069b0aafa11e4bbd479d350ef3c73/Shimon-Schocken-_3_.JPG?auto=format&dpr=1&w=88&h=88&fit=crop,null
163,Build a Modern Computer from First Principles: From Nand to Tetris (Project-Centered Course),Coursera,6,null,Algorithms,Purchase Course ¡¤ US$49 USD,49,null,1,Hebrew University of Jerusalem,,,,English,English,https://www.coursera.org/learn/build-a-computer,"Noam Nisan, Professor",Computer Science and Engineering,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/38/327fe0f0b411e3a8b8cd1e52ab1f2e/noam-photo.jpg?auto=format&dpr=1&w=88&h=88&fit=crop,null
164,Building Your Leadership Skills,Coursera,3,"3 weeks, 2-4 hours/week",Leadership and Management,Purchase Course ¡¤ US$79 USD,79,null,1,HEC Paris,,,,"English, Subtitles: French, Vietnamese","English, Subtitles: French, Vietnamese",https://www.coursera.org/learn/leadership-skills,"Val?rie Gauthier, Associate Professor, HEC Paris",null,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/d4/b11bd035f311e587401b4f7483ef08/VGAUTHIER_portrait_xsmallD-300-300.jpg?auto=format&dpr=1&w=88&h=88&fit=crop,Course 1 of 4 in the Inspirational Leadership: Leading with Sense Specialization.
165,Building a Data Science Team,Coursera,1,"1 week of study, 4-6 hours",Data Analysis,Purchase Course ¡¤ US$49 USD,49,null,1,Johns Hopkins University,,,,English,English,https://www.coursera.org/learn/build-data-science-team,"Jeff Leek, Associate Professor, Biostatistics",Bloomberg School of Public Health,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/2c/3ea105f46d1fe369e934014608ac4d/jeff-1.jpg?auto=format&dpr=1&w=88&h=88&fit=crop,Course 2 of 5 in the Executive Data Science Specialization.
165,Building a Data Science Team,Coursera,1,"1 week of study, 4-6 hours",Data Analysis,Purchase Course ¡¤ US$49 USD,49,null,1,Johns Hopkins University,,,,English,English,https://www.coursera.org/learn/build-data-science-team,"Brian Caffo, Professor, Biostatistics",Bloomberg School of Public Health,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/94/3fa57375db83096437cf7b4cff07c6/Brian-Caffo.jpeg?auto=format&dpr=1&w=88&h=88&fit=crop,Course 2 of 5 in the Executive Data Science Specialization.
165,Building a Data Science Team,Coursera,1,"1 week of study, 4-6 hours",Data Analysis,Purchase Course ¡¤ US$49 USD,49,null,1,Johns Hopkins University,,,,English,English,https://www.coursera.org/learn/build-data-science-team,"Roger D. Peng, PhD, Associate Professor, Biostatistics",Bloomberg School of Public Health,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/f5/783878eec27e95d2fade6b62d9a62a/Peng_Roger.jpg?auto=format&dpr=1&w=88&h=88&fit=crop,Course 2 of 5 in the Executive Data Science Specialization.
167,Business Analytics Capstone,Coursera,4,"4 weeks of study, 4-5 hours/week",Data Analysis,null,215,Intermediate,1,University of Pennsylvania,,,,English,English,https://www.coursera.org/learn/wharton-capstone-analytics,"Wharton Teaching Staff, Educators",The Wharton School,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/c3/4703e04c1a11e5bc1d531e6a8b392f/Wharton-Teaching-Staff.jpg?auto=format&dpr=1&w=88&h=88&fit=crop,Course 5 of 5 in the Business Analytics Specialization.
168,Business Case Analysis,Coursera,7,"7 weeks of study, 2-3 hours/week",Learning English,null,79,null,1,The Hong Kong University of Science and Technology,,,,English,English,https://www.coursera.org/learn/business-case-analysis,"Sean McMinn, Senior Insructor",Center for Language Education,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/9b/2518e0f28511e5aee8ab92f05a6b46/SeanMcMinn_sq.jpg?auto=format&dpr=1&w=88&h=88&fit=crop,Course 5 of 5 in the Business English for Non-Native Speakers Specialization.
168,Business Case Analysis,Coursera,7,"7 weeks of study, 2-3 hours/week",Learning English,null,79,null,1,The Hong Kong University of Science and Technology,,,,English,English,https://www.coursera.org/learn/business-case-analysis,"Kin Tang, Instructor",Center for Language Education,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/29/2ae3407c0711e5b2d1c3b7c28fd65f/kin.jpg?auto=format&dpr=1&w=88&h=88&fit=crop,Course 5 of 5 in the Business English for Non-Native Speakers Specialization.
168,Business Case Analysis,Coursera,7,"7 weeks of study, 2-3 hours/week",Learning English,null,79,null,1,The Hong Kong University of Science and Technology,,,,English,English,https://www.coursera.org/learn/business-case-analysis,"Delian Gaskell, Instructor",Center for Language Education,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/a6/fd63207c0611e5afc87d28c44ca435/lcdgaskell.jpg?auto=format&dpr=1&w=88&h=88&fit=crop,Course 5 of 5 in the Business English for Non-Native Speakers Specialization.
169,Business English for Cross-cultural Communication,Coursera,6,"6 weeks of study, 2-4 hours/week",Learning English,Purchase Course ¡¤ US$79 USD,79,null,1,The Hong Kong University of Science and Technology,,,,English,English,https://www.coursera.org/learn/cross-cultural-communication-business,"Sean McMinn, Senior Insructor",Center for Language Education,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/9b/2518e0f28511e5aee8ab92f05a6b46/SeanMcMinn_sq.jpg?auto=format&dpr=1&w=88&h=88&fit=crop,Course 4 of 5 in the Business English for Non-Native Speakers Specialization.
169,Business English for Cross-cultural Communication,Coursera,6,"6 weeks of study, 2-4 hours/week",Learning English,Purchase Course ¡¤ US$79 USD,79,null,1,The Hong Kong University of Science and Technology,,,,English,English,https://www.coursera.org/learn/cross-cultural-communication-business,"Kin Tang, Instructor",Center for Language Education,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/29/2ae3407c0711e5b2d1c3b7c28fd65f/kin.jpg?auto=format&dpr=1&w=88&h=88&fit=crop,Course 4 of 5 in the Business English for Non-Native Speakers Specialization.
169,Business English for Cross-cultural Communication,Coursera,6,"6 weeks of study, 2-4 hours/week",Learning English,Purchase Course ¡¤ US$79 USD,79,null,1,The Hong Kong University of Science and Technology,,,,English,English,https://www.coursera.org/learn/cross-cultural-communication-business,"Delian Gaskell, Instructor",Center for Language Education,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/a6/fd63207c0611e5afc87d28c44ca435/lcdgaskell.jpg?auto=format&dpr=1&w=88&h=88&fit=crop,Course 4 of 5 in the Business English for Non-Native Speakers Specialization.
170,Business English: Basics,Coursera,6,"6 weeks, 3 - 5 hours per week",Learning English,Purchase Course ¡¤ US$79 USD,79,null,1,The Hong Kong University of Science and Technology,,,,English,English,https://www.coursera.org/learn/business-english,"Kin Tang, Instructor",Center for Language Education,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/29/2ae3407c0711e5b2d1c3b7c28fd65f/kin.jpg?auto=format&dpr=1&w=88&h=88&fit=crop,Course 1 of 5 in the Business English for Non-Native Speakers Specialization.
170,Business English: Basics,Coursera,6,"6 weeks, 3 - 5 hours per week",Learning English,Purchase Course ¡¤ US$79 USD,79,null,1,The Hong Kong University of Science and Technology,,,,English,English,https://www.coursera.org/learn/business-english,"Delian Gaskell, Instructor",Center for Language Education,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/a6/fd63207c0611e5afc87d28c44ca435/lcdgaskell.jpg?auto=format&dpr=1&w=88&h=88&fit=crop,Course 1 of 5 in the Business English for Non-Native Speakers Specialization.
170,Business English: Basics,Coursera,6,"6 weeks, 3 - 5 hours per week",Learning English,Purchase Course ¡¤ US$79 USD,79,null,1,The Hong Kong University of Science and Technology,,,,English,English,https://www.coursera.org/learn/business-english,"Sean McMinn, Senior Insructor",Center for Language Education,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/9b/2518e0f28511e5aee8ab92f05a6b46/SeanMcMinn_sq.jpg?auto=format&dpr=1&w=88&h=88&fit=crop,Course 1 of 5 in the Business English for Non-Native Speakers Specialization.
171,Business English: Capstone Project,Coursera,7,"7 weeks of study, 3-5 hours/week",Learning English,null,79,Intermediate,1,University of Washington,,,,English,English,https://www.coursera.org/learn/business-english-capstone,"Richard Moore, Extension Lecturer, International & English Language Programs",UW Educational Outreach,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/60/fa7ef0b01111e5a1a0b959ffd9dd6a/Richard-Moore.jpg?auto=format&dpr=1&w=88&h=88&fit=crop,Course 5 of 5 in the Business English Communication Skills Specialization.
171,Business English: Capstone Project,Coursera,7,"7 weeks of study, 3-5 hours/week",Learning English,null,79,Intermediate,1,University of Washington,,,,English,English,https://www.coursera.org/learn/business-english-capstone,"Daphne Mackey, Extension Lecturer, International & English Language Programs",UW Educational Outreach,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/01/7e3890b01111e5972b3165b2700a91/Daphne-Mackey.jpg?auto=format&dpr=1&w=88&h=88&fit=crop,Course 5 of 5 in the Business English Communication Skills Specialization.
172,Business English: Making Presentations,Coursera,4,null,Learning English,Purchase Course ¡¤ US$79 USD,79,Intermediate,1,University of Washington,,,,English,English,https://www.coursera.org/learn/business-english-presentations,"Richard Moore, Extension Lecturer, International & English Language Programs",UW Educational Outreach,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/60/fa7ef0b01111e5a1a0b959ffd9dd6a/Richard-Moore.jpg?auto=format&dpr=1&w=88&h=88&fit=crop,Course 4 of 5 in the Business English Communication Skills Specialization.
172,Business English: Making Presentations,Coursera,4,null,Learning English,Purchase Course ¡¤ US$79 USD,79,Intermediate,1,University of Washington,,,,English,English,https://www.coursera.org/learn/business-english-presentations,"Daphne Mackey, Extension Lecturer, International & English Language Programs",UW Educational Outreach,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/01/7e3890b01111e5972b3165b2700a91/Daphne-Mackey.jpg?auto=format&dpr=1&w=88&h=88&fit=crop,Course 4 of 5 in the Business English Communication Skills Specialization.
173,Business English: Meetings,Coursera,4,"4 weeks of study, 3-5 hours/week",Learning English,Purchase Course ¡¤ US$79 USD,79,Intermediate,1,University of Washington,,,,English,English,https://www.coursera.org/learn/business-english-meetings,"Richard Moore, Extension Lecturer, International & English Language Programs",UW Educational Outreach,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/60/fa7ef0b01111e5a1a0b959ffd9dd6a/Richard-Moore.jpg?auto=format&dpr=1&w=88&h=88&fit=crop,Course 2 of 5 in the Business English Communication Skills Specialization.
173,Business English: Meetings,Coursera,4,"4 weeks of study, 3-5 hours/week",Learning English,Purchase Course ¡¤ US$79 USD,79,Intermediate,1,University of Washington,,,,English,English,https://www.coursera.org/learn/business-english-meetings,"Daphne Mackey, Extension Lecturer, International & English Language Programs",UW Educational Outreach,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/01/7e3890b01111e5972b3165b2700a91/Daphne-Mackey.jpg?auto=format&dpr=1&w=88&h=88&fit=crop,Course 2 of 5 in the Business English Communication Skills Specialization.
174,Business English: Networking,Coursera,5,null,Learning English,Purchase Course ¡¤ US$79 USD,79,Intermediate,1,University of Washington,,,,English,English,https://www.coursera.org/learn/business-english-intro,"Daphne Mackey, Extension Lecturer, International & English Language Programs",UW Educational Outreach,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/01/7e3890b01111e5972b3165b2700a91/Daphne-Mackey.jpg?auto=format&dpr=1&w=88&h=88&fit=crop,Course 1 of 5 in the Business English Communication Skills Specialization.
174,Business English: Networking,Coursera,5,null,Learning English,Purchase Course ¡¤ US$79 USD,79,Intermediate,1,University of Washington,,,,English,English,https://www.coursera.org/learn/business-english-intro,"Richard Moore, Extension Lecturer, International & English Language Programs",UW Educational Outreach,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/60/fa7ef0b01111e5a1a0b959ffd9dd6a/Richard-Moore.jpg?auto=format&dpr=1&w=88&h=88&fit=crop,Course 1 of 5 in the Business English Communication Skills Specialization.
175,Business English: Planning & Negotiating,Coursera,4,"4 weeks of study, 3-5 hours/week",Learning English,Purchase Course ¡¤ US$79 USD,79,Intermediate,1,University of Washington,,,,English,English,https://www.coursera.org/learn/business-english-negotiating,"Richard Moore, Extension Lecturer, International & English Language Programs",UW Educational Outreach,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/60/fa7ef0b01111e5a1a0b959ffd9dd6a/Richard-Moore.jpg?auto=format&dpr=1&w=88&h=88&fit=crop,Course 3 of 5 in the Business English Communication Skills Specialization.
175,Business English: Planning & Negotiating,Coursera,4,"4 weeks of study, 3-5 hours/week",Learning English,Purchase Course ¡¤ US$79 USD,79,Intermediate,1,University of Washington,,,,English,English,https://www.coursera.org/learn/business-english-negotiating,"Daphne Mackey, Extension Lecturer, International & English Language Programs",UW Educational Outreach,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/01/7e3890b01111e5972b3165b2700a91/Daphne-Mackey.jpg?auto=format&dpr=1&w=88&h=88&fit=crop,Course 3 of 5 in the Business English Communication Skills Specialization.
175,Business English: Planning & Negotiating,Coursera,4,"4 weeks of study, 3-5 hours/week",Learning English,Purchase Course ¡¤ US$79 USD,79,Intermediate,1,University of Washington,,,,English,English,https://www.coursera.org/learn/business-english-negotiating,"Wendy Asplin, Extension Lecturer, International & English Language Programs",UW Educational Outreach,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/41/b73d00170211e6a15a0fa6aaff844e/Wendy-Asplin-_1-of-1_.jpg?auto=format&dpr=1&w=88&h=88&fit=crop,Course 3 of 5 in the Business English Communication Skills Specialization.
176,Business Growth Strategy,Coursera,4,"4 weeks, 2-4 hours/week",Business Strategy,Purchase Course ¡¤ US$79 USD,79,null,1,University of Virginia,,,,English,English,https://www.coursera.org/learn/business-growth-strategy,"Michael Lenox, Senior Associate Dean and Chief Strategy Officer",Darden School of Business,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/34/398f9bb4f08c2b978affd9f8d04e19/Mike-Lenox__F3B3111.jpg?auto=format&dpr=1&w=88&h=88&fit=crop,Course 3 of 5 in the Business Strategy Specialization.
176,Business Growth Strategy,Coursera,4,"4 weeks, 2-4 hours/week",Business Strategy,Purchase Course ¡¤ US$79 USD,79,null,1,University of Virginia,,,,English,English,https://www.coursera.org/learn/business-growth-strategy,"Jared Harris, Samuel L. Slover Research Chair in Business Administration",Darden School of Business,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/6f/c91440524811e5a5072321239ff4d4/HarrisJared.jpg?auto=format&dpr=1&w=88&h=88&fit=crop,Course 3 of 5 in the Business Strategy Specialization.
177,"Business Intelligence Concepts, Tools, and Applications",Coursera,5,"5 weeks of study, 3-5 hours/week",Data Analysis,Purchase Course ¡¤ US$79 USD,79,null,1,University of Colorado System,,,,"English, Subtitles: Chinese (Simplified)","English, Subtitles: Chinese (Simplified)",https://www.coursera.org/learn/business-intelligence-tools,"Jahangir Karimi, Professor",Information Systems University of Colorado Denver,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/9a/857b803b8011e59d4adb5d96e379f7/DSC_4674.jpg?auto=format&dpr=1&w=88&h=88&fit=crop,Course 4 of 5 in the Data Warehousing for Business Intelligence Specialization.
