url,title,platform,institution,subject,language,keywords,totalReviewCount,totalReviewValue,time,timeReviewCount,timeReviewValue
https://www.class-central.com/mooc/2296/edx-d001x-medicinal-chemistry-the-molecular-basis-of-drug-discovery,Medicinal Chemistry: The Molecular Basis of Drug Discovery,edX,Davidson College,Health Care & Research,English,"drug,molecules,drugs,halflife,medicinal",1,5,35,1,5
https://www.class-central.com/mooc/2463/coursera-surveillance-law,Surveillance Law,Coursera,Stanford University,Law,English,"surveillance,police,law,section,hacking",3,5,27,3,15
https://www.class-central.com/mooc/2368/edx-anu-astro3x-astrophysics-the-violent-universe,Astrophysics: The Violent Universe,edX,Australian National University,Astronomy,English,"novae,unsolved,astrophysics,mysteries,stars",6,4.8333335,31,1,5
https://www.class-central.com/mooc/2368/edx-anu-astro3x-astrophysics-the-violent-universe,Astrophysics: The Violent Universe,edX,Australian National University,Astronomy,English,"novae,unsolved,astrophysics,mysteries,stars",6,4.8333335,34,1,5
https://www.class-central.com/mooc/2368/edx-anu-astro3x-astrophysics-the-violent-universe,Astrophysics: The Violent Universe,edX,Australian National University,Astronomy,English,"novae,unsolved,astrophysics,mysteries,stars",6,4.8333335,35,1,5
https://www.class-central.com/mooc/2368/edx-anu-astro3x-astrophysics-the-violent-universe,Astrophysics: The Violent Universe,edX,Australian National University,Astronomy,English,"novae,unsolved,astrophysics,mysteries,stars",6,4.8333335,38,1,5
https://www.class-central.com/mooc/2368/edx-anu-astro3x-astrophysics-the-violent-universe,Astrophysics: The Violent Universe,edX,Australian National University,Astronomy,English,"novae,unsolved,astrophysics,mysteries,stars",6,4.8333335,39,1,5
https://www.class-central.com/mooc/2368/edx-anu-astro3x-astrophysics-the-violent-universe,Astrophysics: The Violent Universe,edX,Australian National University,Astronomy,English,"novae,unsolved,astrophysics,mysteries,stars",6,4.8333335,40,1,4
https://www.class-central.com/mooc/2147/edx-fp101x-introduction-to-functional-programming,Introduction to Functional Programming,edX,Delft University of Technology,Programming,English,"programming,functional,haskell,languages,language",6,4,26,1,5
https://www.class-central.com/mooc/2147/edx-fp101x-introduction-to-functional-programming,Introduction to Functional Programming,edX,Delft University of Technology,Programming,English,"programming,functional,haskell,languages,language",6,4,27,1,4
https://www.class-central.com/mooc/2147/edx-fp101x-introduction-to-functional-programming,Introduction to Functional Programming,edX,Delft University of Technology,Programming,English,"programming,functional,haskell,languages,language",6,4,35,1,4
https://www.class-central.com/mooc/2147/edx-fp101x-introduction-to-functional-programming,Introduction to Functional Programming,edX,Delft University of Technology,Programming,English,"programming,functional,haskell,languages,language",6,4,38,1,5
https://www.class-central.com/mooc/2147/edx-fp101x-introduction-to-functional-programming,Introduction to Functional Programming,edX,Delft University of Technology,Programming,English,"programming,functional,haskell,languages,language",6,4,39,1,2
https://www.class-central.com/mooc/2147/edx-fp101x-introduction-to-functional-programming,Introduction to Functional Programming,edX,Delft University of Technology,Programming,English,"programming,functional,haskell,languages,language",6,4,40,1,4
https://www.class-central.com/mooc/1728/coursera-software-security,Software Security,Coursera,"University of Maryland, College Park",Information Technology,English,"security,attacks,lowlevel,exploits,defending",11,4.5454545,27,2,9
https://www.class-central.com/mooc/1728/coursera-software-security,Software Security,Coursera,"University of Maryland, College Park",Information Technology,English,"security,attacks,lowlevel,exploits,defending",11,4.5454545,32,1,5
https://www.class-central.com/mooc/1728/coursera-software-security,Software Security,Coursera,"University of Maryland, College Park",Information Technology,English,"security,attacks,lowlevel,exploits,defending",11,4.5454545,33,3,13
https://www.class-central.com/mooc/1728/coursera-software-security,Software Security,Coursera,"University of Maryland, College Park",Information Technology,English,"security,attacks,lowlevel,exploits,defending",11,4.5454545,34,2,9
https://www.class-central.com/mooc/1728/coursera-software-security,Software Security,Coursera,"University of Maryland, College Park",Information Technology,English,"security,attacks,lowlevel,exploits,defending",11,4.5454545,35,1,4
https://www.class-central.com/mooc/1728/coursera-software-security,Software Security,Coursera,"University of Maryland, College Park",Information Technology,English,"security,attacks,lowlevel,exploits,defending",11,4.5454545,36,1,5
https://www.class-central.com/mooc/1728/coursera-software-security,Software Security,Coursera,"University of Maryland, College Park",Information Technology,English,"security,attacks,lowlevel,exploits,defending",11,4.5454545,37,1,5
https://www.class-central.com/mooc/2677/coursera-america-s-written-constitution,America's Written Constitution,Coursera,Yale University,Law,English,"amar,constitution,amendments,americas,prof",3,4.6666665,27,1,5
https://www.class-central.com/mooc/2677/coursera-america-s-written-constitution,America's Written Constitution,Coursera,Yale University,Law,English,"amar,constitution,amendments,americas,prof",3,4.6666665,34,1,4
https://www.class-central.com/mooc/2677/coursera-america-s-written-constitution,America's Written Constitution,Coursera,Yale University,Law,English,"amar,constitution,amendments,americas,prof",3,4.6666665,39,1,5
https://www.class-central.com/mooc/2466/coursera-introduction-to-electronics,Introduction to Electronics,Coursera,Georgia Institute of Technology,Electrical Engineering,English,"diode,objectives,amps,diodes,mosfet",1,1,30,1,1
https://www.class-central.com/mooc/2504/edx-advbio-1x-ap-biology-part-1-the-cell,AP Biology - Part 1: The Cell,edX,Rice University,Test Prep,English,"biology,college,audit,placement,board",1,3,26,1,3
