course_url,title,course_platform,review_platform,time,reviewr_id,review_date,review_value
26,Modern & Contemporary American Poetry,Coursera,CourseTalk,9,/accounts/profile/edgarcalvelo,2012-10-25,5
26,Modern & Contemporary American Poetry,Coursera,CourseTalk,9,/accounts/profile/barbaramengason,2012-10-25,5
26,Modern & Contemporary American Poetry,Coursera,CourseTalk,9,/accounts/profile/wendymitton,2012-10-25,5
26,Modern & Contemporary American Poetry,Coursera,CourseTalk,9,/accounts/profile/aliceallan,2012-10-25,5
26,Modern & Contemporary American Poetry,Coursera,CourseTalk,9,/accounts/profile/Rosaleah,2012-10-25,5
26,Modern & Contemporary American Poetry,Coursera,CourseTalk,9,/accounts/profile/jeffperryman,2012-10-25,5
26,Modern & Contemporary American Poetry,Coursera,CourseTalk,9,/accounts/profile/mirelapetallikapaj,2012-10-25,5
26,Modern & Contemporary American Poetry,Coursera,CourseTalk,9,/accounts/profile/elizabethevans,2012-10-25,5
26,Modern & Contemporary American Poetry,Coursera,CourseTalk,9,/accounts/profile/annhostetler,2012-10-25,5
29,Statistics One,Coursera,CourseTalk,9,/accounts/profile/perditastevens,2012-10-25,2
150,Writing in the Sciences,Coursera,CourseTalk,9,/accounts/profile/lauracushing,2012-10-25,3
12,Machine Learning,Coursera,CourseTalk,9,/accounts/profile/ruslanbes,2012-10-26,5
26,Modern & Contemporary American Poetry,Coursera,CourseTalk,9,/accounts/profile/joycesummers,2012-10-26,5
26,Modern & Contemporary American Poetry,Coursera,CourseTalk,9,/accounts/profile/evidanadiadou,2012-10-26,5
26,Modern & Contemporary American Poetry,Coursera,CourseTalk,9,/accounts/profile/vernongoddard,2012-10-26,5
26,Modern & Contemporary American Poetry,Coursera,CourseTalk,9,/accounts/profile/emilioquintana,2012-10-26,5
26,Modern & Contemporary American Poetry,Coursera,CourseTalk,9,/accounts/profile/jaimeandre,2012-10-26,5
26,Modern & Contemporary American Poetry,Coursera,CourseTalk,9,/accounts/profile/christinenichols,2012-10-26,5
26,Modern & Contemporary American Poetry,Coursera,CourseTalk,9,/accounts/profile/harrietjmelrose,2012-10-26,5
26,Modern & Contemporary American Poetry,Coursera,CourseTalk,9,/accounts/profile/tonypuma,2012-10-26,4
26,Modern & Contemporary American Poetry,Coursera,CourseTalk,9,/accounts/profile/martheyolleck,2012-10-26,5
26,Modern & Contemporary American Poetry,Coursera,CourseTalk,9,/accounts/profile/poojasharmarao,2012-10-26,5
26,Modern & Contemporary American Poetry,Coursera,CourseTalk,9,/accounts/profile/mimishapiro,2012-10-26,5
26,Modern & Contemporary American Poetry,Coursera,CourseTalk,9,/accounts/profile/surendrasahu,2012-10-26,4
26,Modern & Contemporary American Poetry,Coursera,CourseTalk,9,/accounts/profile/gloriamackay,2012-10-26,5
26,Modern & Contemporary American Poetry,Coursera,CourseTalk,9,/accounts/profile/alicelongaker,2012-10-26,5
26,Modern & Contemporary American Poetry,Coursera,CourseTalk,9,/accounts/profile/natashababurova,2012-10-26,5
26,Modern & Contemporary American Poetry,Coursera,CourseTalk,9,/accounts/profile/joycebutler,2012-10-26,5
26,Modern & Contemporary American Poetry,Coursera,CourseTalk,9,/accounts/profile/vivianvilmin,2012-10-26,5
26,Modern & Contemporary American Poetry,Coursera,CourseTalk,9,/accounts/profile/deliapotamianou,2012-10-26,5
26,Modern & Contemporary American Poetry,Coursera,CourseTalk,9,/accounts/profile/margaretta,2012-10-26,5
26,Modern & Contemporary American Poetry,Coursera,CourseTalk,9,/accounts/profile/juliasutherland,2012-10-26,5
26,Modern & Contemporary American Poetry,Coursera,CourseTalk,9,/accounts/profile/elizabethfader,2012-10-26,5
26,Modern & Contemporary American Poetry,Coursera,CourseTalk,9,/accounts/profile/michaellaszlo,2012-10-26,5
26,Modern & Contemporary American Poetry,Coursera,CourseTalk,9,/accounts/profile/lolamolina,2012-10-26,5
26,Modern & Contemporary American Poetry,Coursera,CourseTalk,9,/accounts/profile/victoriarivero,2012-10-26,5
26,Modern & Contemporary American Poetry,Coursera,CourseTalk,9,/accounts/profile/conchatorres,2012-10-26,5
26,Modern & Contemporary American Poetry,Coursera,CourseTalk,9,/accounts/profile/janfarr,2012-10-26,5
26,Modern & Contemporary American Poetry,Coursera,CourseTalk,9,/accounts/profile/brandijaxx,2012-10-26,4.5
26,Modern & Contemporary American Poetry,Coursera,CourseTalk,9,/accounts/profile/diannalynn,2012-10-26,5
26,Modern & Contemporary American Poetry,Coursera,CourseTalk,9,/accounts/profile/carol,2012-10-26,5
35,Networked Life,Coursera,CourseTalk,9,/accounts/profile/milenepereira,2012-10-26,5
103,Functional Programming Principles in Scala,Coursera,CourseTalk,9,/accounts/profile/gavinconran,2012-10-27,5
12,Machine Learning,Coursera,CourseTalk,9,/accounts/profile/robertkomartin,2012-10-27,5
26,Modern & Contemporary American Poetry,Coursera,CourseTalk,9,/accounts/profile/sandralevine,2012-10-27,5
26,Modern & Contemporary American Poetry,Coursera,CourseTalk,9,/accounts/profile/bethgoldberg,2012-10-27,5
26,Modern & Contemporary American Poetry,Coursera,CourseTalk,9,/accounts/profile/rozeelizabeth,2012-10-27,5
26,Modern & Contemporary American Poetry,Coursera,CourseTalk,9,/accounts/profile/arlenemandell,2012-10-27,5
26,Modern & Contemporary American Poetry,Coursera,CourseTalk,9,/accounts/profile/johnnuccio,2012-10-27,5
26,Modern & Contemporary American Poetry,Coursera,CourseTalk,9,/accounts/profile/def,2012-10-27,5
26,Modern & Contemporary American Poetry,Coursera,CourseTalk,9,/accounts/profile/carmengonzalez,2012-10-27,5
26,Modern & Contemporary American Poetry,Coursera,CourseTalk,9,/accounts/profile/ireneolumese,2012-10-27,5
35,Networked Life,Coursera,CourseTalk,9,/accounts/profile/robertkomartin,2012-10-27,5
29,Statistics One,Coursera,CourseTalk,9,/accounts/profile/robertkomartin,2012-10-27,4.5
29,Statistics One,Coursera,CourseTalk,9,/accounts/profile/shishirshakya,2012-10-27,5
103,Functional Programming Principles in Scala,Coursera,CourseTalk,9,/accounts/profile/tejasbubane,2012-10-28,4.5
27,Introduction to Sociology,Coursera,CourseTalk,9,/accounts/profile/susankemp,2012-10-28,5
32,Listening to World Music,Coursera,CourseTalk,9,/accounts/profile/susankemp,2012-10-28,3.5
26,Modern & Contemporary American Poetry,Coursera,CourseTalk,9,/accounts/profile/michalclements1,2012-10-28,5
26,Modern & Contemporary American Poetry,Coursera,CourseTalk,9,/accounts/profile/carolstephen,2012-10-28,5
26,Modern & Contemporary American Poetry,Coursera,CourseTalk,9,/accounts/profile/carolynmallory,2012-10-28,5
26,Modern & Contemporary American Poetry,Coursera,CourseTalk,9,/accounts/profile/Roberta,2012-10-28,5
29,Statistics One,Coursera,CourseTalk,9,/accounts/profile/betty87,2012-10-28,3.5
26,Modern & Contemporary American Poetry,Coursera,CourseTalk,9,/accounts/profile/christinemurray,2012-10-29,4
26,Modern & Contemporary American Poetry,Coursera,CourseTalk,9,/accounts/profile/jkziel,2012-10-29,4
136,Web Intelligence and Big Data,Coursera,CourseTalk,9,/accounts/profile/benhaley,2012-10-29,4
103,Functional Programming Principles in Scala,Coursera,CourseTalk,9,/accounts/profile/robertkomartin,2012-10-30,4
26,Modern & Contemporary American Poetry,Coursera,CourseTalk,9,/accounts/profile/richardengelkemeir,2012-10-30,4.5
26,Modern & Contemporary American Poetry,Coursera,CourseTalk,9,/accounts/profile/denitsageorgieva,2012-10-30,4.5
32,Listening to World Music,Coursera,CourseTalk,9,/accounts/profile/pilarreyes,2012-10-31,4
26,Modern & Contemporary American Poetry,Coursera,CourseTalk,9,/accounts/profile/dolorscasas,2012-10-31,5
26,Modern & Contemporary American Poetry,Coursera,CourseTalk,9,/accounts/profile/murrayrosenbaum,2012-10-31,5
110,Design: Creation of Artifacts in Society,Coursera,CourseTalk,9,/accounts/profile/thaismolina,2012-11-01,5
69854,Circuits and Electronics 1: Basic Circuit Analysis,edX,CourseTalk,9,/accounts/profile/vikrantsingh,2012-11-01,5
21,Introduction to Logic,Coursera,CourseTalk,9,/accounts/profile/ahmadalbaqsami,2012-11-02,2
45,"Fantasy and Science Fiction: The Human Mind, Our Modern World",Coursera,CourseTalk,9,/accounts/profile/svjetlananevescanin,2012-11-03,5
45,"Fantasy and Science Fiction: The Human Mind, Our Modern World",Coursera,CourseTalk,9,/accounts/profile/lindapek,2012-11-04,5
